# t(microsec), uc(echelle -(0-5)V vers (0-1023)B)
4,1008
244,990
160,972
160,954
152,939
152,922
164,905
156,890
160,875
160,860
160,845
152,831
152,818
160,806
160,791
160,779
160,767
160,755
152,743
160,731
152,721
160,709
160,698
160,687
160,677
152,667
152,658
160,648
160,637
160,628
244,613
340,594
340,576
340,557
340,541
340,523
340,508
340,492
340,478
340,464
340,449
340,436
340,424
340,411
340,400
340,387
340,376
340,366
340,355
340,346
340,336
340,326
340,318
340,307
340,299
340,290
340,283
340,276
340,267
340,260
340,254
340,245
340,240
340,232
340,226
340,221
340,214
340,209
340,204
340,197
340,192
340,187
340,182
340,177
340,172
340,168
340,162
340,159
340,156
340,151
340,147
340,142
340,139
340,135
340,132
340,129
340,126
340,122
340,119
340,115
340,113
340,109
340,106
340,104
340,101
340,99
340,96
340,93
340,91
340,88
340,87
340,85
340,82
340,81
340,79
340,77
340,75
340,73
340,71
340,69
340,67
340,66
340,64
340,63
340,62
340,59
340,58
340,56
340,55
340,54
340,52
340,51
340,50
340,49
340,48
340,46
340,46
344,44
336,43
340,43
348,41
332,40
340,40
348,39
332,38
340,36
348,35
332,36
340,33
348,34
332,33
340,31
348,32
332,30
340,30
340,29
340,28
340,28
340,28
340,27
340,26
340,25
340,24
340,24
340,24
340,23
340,22
340,23
340,22
340,21
340,22
340,20
340,19
340,20
340,19
340,19
340,18
340,18
340,18
340,17
340,17
340,16
340,16
340,16
340,15
340,16
340,15
340,15
340,15
340,13
340,13
340,14
340,13
340,14
340,14
340,13
340,12
340,12
340,12
340,12
340,11
340,12
340,10
340,11
340,12
340,9
340,11
340,9
340,9
340,10
340,9
340,10
340,10
340,9
340,10
340,8
340,9
340,8
340,8
340,8
340,8
340,8
340,8
340,8
340,7
340,7
340,8
340,7
340,6
340,7
340,7
340,7
340,6
340,6
340,6
340,6
340,6
340,6
340,6
340,6
340,6
340,5
340,6
340,5
340,5
340,6
340,5
340,6
340,6
340,5
340,6
340,5
340,5
340,5
340,5
340,5
340,6
340,5
340,5
340,5
340,4
340,4
340,4
340,5
340,4
340,4
340,4
340,3
340,4
340,4
340,3
340,4
340,3
340,4
340,4
340,3
340,4
340,3
340,3
340,4
340,3
340,4
340,2
340,3
340,4
340,3
340,3
340,3
340,3
340,4
340,3
340,4
340,4
340,3
340,3
340,3
340,3
340,2
340,3
340,4
340,2
340,3
340,4
340,3
340,3
340,2
340,3
340,4
340,2
340,3
340,4
340,3
340,2
340,1
340,2
340,2
340,1
340,3
340,2
340,3
340,2
